comment/tweet,majority_sent
bad sad good covid happy vaccine sad,neutral
great bad good policy great ok happy meh excellent covid vaccine,positive
vaccine ok great excellent good meh sad covid meh meh covid policy happy,negative
covid terrible terrible good vaccine meh bad fine vaccine awful,neutral
excellent fine happy bad covid good fine good terrible excellent,positive
meh sad awful meh,negative
meh sad awful policy meh happy great fine fine sad fine fine vaccine,neutral
bad terrible fine ok good covid happy awful meh,positive
bad fine sad awful meh,negative
excellent good meh good,neutral
awful excellent sad excellent fine vaccine vaccine happy,positive
terrible ok covid great terrible bad sad terrible awful,negative
happy policy vaccine terrible bad great,neutral
terrible bad covid covid good fine sad,positive
awful policy excellent bad awful excellent awful sad,negative
meh policy terrible policy policy covid good,neutral
sad policy vaccine bad meh,positive
vaccine great meh vaccine excellent great awful meh ok awful fine,negative
happy meh covid policy policy happy bad awful happy ok great,neutral
ok excellent terrible ok vaccine awful covid policy terrible excellent bad ok sad,positive
awful policy ok excellent sad great,negative
sad awful policy excellent fine ok awful,neutral
vaccine good sad ok policy terrible ok meh good,positive
sad great happy vaccine fine good bad sad fine,negative
excellent sad happy policy awful bad policy great bad policy policy,neutral
policy excellent happy terrible good ok fine,positive
sad sad terrible bad ok awful ok happy fine,negative
great awful awful great meh meh awful policy terrible covid terrible great great,neutral
policy good ok policy,positive
ok vaccine excellent excellent bad happy covid covid,negative
meh great policy happy fine sad bad,neutral
awful bad awful awful sad vaccine meh fine terrible good awful,positive
fine excellent bad ok fine,negative
good meh happy fine good covid sad meh ok sad vaccine meh,neutral
happy meh sad fine terrible vaccine meh bad ok vaccine happy,positive
bad terrible fine excellent fine terrible ok awful excellent excellent bad ok good,negative
awful vaccine excellent meh great fine meh covid ok excellent policy happy excellent,neutral
happy terrible excellent vaccine policy sad excellent covid meh great,positive
bad terrible awful policy bad awful bad vaccine excellent great great,negative
ok ok great policy vaccine vaccine good sad awful happy meh,neutral
awful policy ok fine awful,positive
happy sad awful policy meh happy meh vaccine policy covid,negative
awful covid great vaccine sad happy sad ok ok fine,neutral
good sad awful vaccine bad meh terrible covid happy covid happy great awful,positive
covid sad happy meh ok,negative
great fine fine policy policy vaccine good excellent meh fine,neutral
ok policy terrible terrible terrible good good happy ok,positive
policy good meh ok policy,negative
ok fine bad excellent vaccine ok meh happy great awful,neutral
vaccine vaccine good ok,positive
good happy happy sad meh meh fine covid,negative
ok great happy fine excellent policy,neutral
vaccine meh awful policy policy terrible sad policy vaccine good,positive
awful policy awful policy covid awful vaccine,negative
great vaccine excellent policy policy policy terrible,neutral
fine vaccine vaccine excellent ok fine ok,positive
vaccine bad ok terrible covid excellent bad great vaccine good fine covid,negative
ok terrible excellent vaccine terrible covid,neutral
good policy good vaccine terrible meh ok sad ok great fine excellent sad,positive
ok happy policy vaccine sad ok terrible awful,negative
policy ok ok covid good policy covid great,neutral
awful policy ok awful policy happy policy covid great excellent terrible,positive
awful meh policy great happy ok policy ok bad covid covid,negative
good ok bad happy good terrible ok awful awful,neutral
fine policy fine happy excellent ok bad great ok,positive
happy vaccine excellent terrible excellent covid vaccine fine great awful happy,negative
ok sad vaccine great awful terrible,neutral
great vaccine sad policy,positive
happy policy policy terrible happy ok excellent ok excellent,negative
excellent bad terrible vaccine vaccine,neutral
bad meh great good covid,positive
covid covid good great great awful fine,negative
meh great covid terrible excellent fine,neutral
fine awful policy policy sad happy sad,positive
bad fine policy terrible happy awful,negative
sad policy meh bad covid bad happy awful happy terrible meh,neutral
policy terrible bad covid awful happy excellent covid,positive
sad great awful ok terrible vaccine great policy,negative
fine happy excellent sad,neutral
sad happy sad bad policy,positive
bad excellent sad meh good fine ok,negative
fine sad fine excellent bad bad fine policy policy terrible fine excellent sad,neutral
great happy ok good happy great sad vaccine covid,positive
bad awful sad fine happy excellent ok ok,negative
great awful terrible terrible terrible happy good great policy excellent,neutral
good sad ok terrible great bad,positive
ok vaccine excellent covid awful great covid happy happy bad policy,negative
fine meh meh covid great terrible,neutral
policy fine meh fine ok excellent awful sad fine excellent covid vaccine,positive
terrible meh vaccine ok awful meh excellent terrible,negative
bad fine good good awful policy fine fine excellent excellent good awful happy,neutral
covid vaccine bad covid fine fine fine,positive
great sad awful excellent,negative
fine excellent ok covid meh excellent excellent good,neutral
good fine good great sad meh great fine policy,positive
meh excellent awful vaccine great good happy covid covid vaccine ok,negative
bad good happy fine terrible meh terrible ok vaccine excellent ok,neutral
great awful covid covid meh meh sad covid great great happy fine,positive
awful excellent fine covid terrible meh bad good,negative
happy terrible fine great covid ok ok sad excellent great ok terrible,neutral
sad policy happy terrible bad covid meh meh meh,positive
great excellent excellent happy covid terrible awful excellent happy,negative
happy bad bad bad excellent policy terrible great vaccine fine happy ok,neutral
happy sad meh excellent bad meh vaccine meh fine good meh,positive
covid sad happy good vaccine,negative
excellent vaccine fine fine,neutral
happy fine happy ok fine happy meh great covid vaccine meh sad vaccine,positive
covid good sad excellent policy,negative
fine bad fine meh policy great happy great great happy awful happy,neutral
meh meh bad vaccine happy terrible covid great awful covid happy ok meh,positive
awful terrible ok ok excellent policy terrible covid awful great meh bad bad,negative
terrible great happy sad ok sad awful vaccine policy ok,neutral
sad happy ok policy bad ok excellent,positive
terrible good bad bad awful ok covid awful sad good,negative
excellent meh great ok great terrible fine bad,neutral
meh awful policy covid good awful covid excellent vaccine fine bad bad policy,positive
policy happy ok fine vaccine ok sad fine terrible covid,negative
excellent excellent terrible vaccine policy ok,neutral
meh sad covid happy ok,positive
vaccine fine great awful,negative
vaccine covid sad good ok fine,neutral
meh excellent good good meh fine terrible awful,positive
fine good terrible ok covid great terrible fine policy good fine ok,negative
bad meh terrible sad vaccine ok,neutral
bad covid bad ok terrible covid fine covid meh,positive
terrible great great ok good good ok awful,negative
fine good fine vaccine good ok excellent happy sad covid great,neutral
happy awful covid covid sad good policy meh good,positive
policy happy awful covid happy meh policy good vaccine sad great happy happy,negative
great meh sad good great policy policy,neutral
terrible policy awful great fine ok fine,positive
meh covid covid ok vaccine terrible sad terrible vaccine vaccine,negative
sad terrible covid vaccine meh,neutral
meh awful happy happy great sad good,positive
sad good fine terrible terrible fine terrible terrible vaccine bad fine,negative
sad excellent sad sad sad happy meh excellent policy great,neutral
terrible vaccine excellent terrible meh fine terrible meh covid,positive
policy bad good covid policy awful terrible vaccine good,negative
covid ok policy covid good policy sad happy great excellent meh vaccine,neutral
terrible covid awful covid happy policy happy fine,positive
awful ok covid fine terrible awful excellent excellent ok,negative
happy terrible excellent awful vaccine covid vaccine vaccine policy awful,neutral
covid excellent policy happy good bad,positive
good good policy covid covid policy meh,negative
happy great sad meh,neutral
meh sad fine awful meh ok great great sad excellent vaccine terrible covid,positive
sad meh good terrible ok awful awful meh sad ok sad great,negative
vaccine happy terrible bad sad bad terrible meh excellent awful,neutral
vaccine good vaccine vaccine policy great bad good happy sad,positive
terrible sad ok fine excellent,negative
good sad excellent fine meh good good excellent,neutral
vaccine great happy fine vaccine terrible meh,positive
vaccine good bad great policy terrible ok bad meh policy sad awful excellent,negative
policy meh great sad vaccine vaccine happy great sad meh,neutral
great sad great excellent bad sad covid,positive
vaccine terrible ok meh fine meh happy,negative
great awful bad meh vaccine,neutral
happy bad good sad happy meh,positive
policy ok awful bad vaccine sad good ok vaccine,negative
meh happy bad bad fine bad ok great fine,neutral
good vaccine meh happy covid awful covid vaccine policy excellent meh,positive
awful policy great covid good great great sad good great good,negative
vaccine great ok happy bad,neutral
terrible excellent ok meh bad,positive
excellent covid sad terrible happy good vaccine bad,negative
meh meh meh fine,neutral
fine meh bad terrible bad awful vaccine good,positive
good vaccine ok policy vaccine terrible vaccine vaccine fine,negative
policy great great awful vaccine vaccine covid,neutral
bad covid sad good ok ok terrible bad policy awful vaccine,positive
meh policy sad sad great covid excellent bad bad awful,negative
vaccine sad covid great great sad meh excellent covid,neutral
meh policy great bad excellent policy bad fine happy covid good,positive
great covid terrible awful awful terrible,negative
good excellent great meh ok fine covid terrible excellent covid vaccine bad good,neutral
excellent meh ok bad vaccine terrible terrible vaccine fine happy terrible great,positive
great meh meh great policy great ok good fine,negative
terrible happy covid great awful bad awful,neutral
meh terrible covid awful excellent terrible awful meh,positive
fine great bad happy covid good bad bad meh great policy,negative
fine awful great covid meh bad meh vaccine terrible bad excellent bad,neutral
meh vaccine great terrible good vaccine policy,positive
ok ok good bad meh vaccine fine great terrible covid happy covid ok,negative
bad good ok policy covid,neutral
fine great meh terrible covid terrible vaccine sad fine good,positive
covid sad awful sad excellent happy meh fine vaccine bad terrible,negative
vaccine awful vaccine sad excellent excellent awful sad excellent terrible policy good,neutral
policy bad bad excellent,positive
awful excellent vaccine good sad bad awful meh excellent sad awful excellent,negative
happy sad policy great,neutral
great good happy happy great fine excellent bad terrible,positive
vaccine fine vaccine policy good good meh ok excellent,negative
great policy awful bad excellent policy excellent meh awful,neutral
sad vaccine good terrible vaccine sad,positive
ok excellent excellent policy awful sad meh bad covid bad meh vaccine terrible,negative
terrible meh meh happy awful great terrible terrible,neutral
ok great good sad terrible,positive
bad good terrible great meh fine happy meh terrible good awful,negative
policy awful terrible policy good excellent meh good excellent vaccine excellent great,neutral
sad bad meh awful great,positive
terrible meh ok happy covid policy bad covid awful great,negative
bad sad sad awful sad vaccine policy,neutral
sad meh policy awful terrible good policy great ok vaccine,positive
terrible sad sad vaccine policy policy good sad covid,negative
awful vaccine awful policy excellent awful ok meh bad covid awful awful,neutral
fine great awful sad covid sad excellent covid policy meh,positive
awful covid policy policy vaccine ok bad,negative
awful good vaccine ok excellent happy happy sad,neutral
awful ok great great sad good excellent policy,positive
fine policy sad meh vaccine good fine,negative
awful awful good ok excellent meh bad excellent good vaccine great,neutral
bad awful meh excellent ok terrible awful good good sad,positive
awful awful good meh covid excellent meh happy happy great terrible covid great,negative
good sad excellent meh happy vaccine ok sad awful fine excellent,neutral
excellent sad vaccine good meh,positive
good good great policy awful policy sad bad terrible policy bad,negative
covid vaccine excellent sad sad sad happy ok excellent terrible happy,neutral
good policy meh bad happy excellent ok,positive
vaccine covid excellent vaccine bad good great great meh excellent,negative
bad happy bad meh policy awful happy good,neutral
ok terrible covid happy great awful excellent policy awful meh covid bad,positive
bad policy covid policy awful awful good excellent vaccine terrible fine terrible terrible,negative
awful bad sad vaccine vaccine great awful vaccine,neutral
policy fine policy great fine bad meh good,positive
great sad bad excellent,negative
meh bad great fine meh,neutral
sad good great good great excellent,positive
great happy good ok policy sad vaccine good fine happy,negative
bad excellent policy fine excellent fine awful vaccine good great fine,neutral
meh fine vaccine sad bad,positive
sad bad terrible meh,negative
awful excellent vaccine great good,neutral
vaccine meh good awful,positive
sad covid ok vaccine meh bad,negative
covid ok happy policy sad,neutral
fine great covid policy meh meh great terrible,positive
policy excellent policy terrible fine,negative
sad covid policy good ok happy terrible meh covid excellent awful good,neutral
meh bad awful covid sad,positive
terrible sad great good excellent meh good good bad good,negative
covid happy ok terrible good meh covid excellent,neutral
covid vaccine fine good policy,positive
sad sad terrible bad policy sad terrible excellent fine good happy,negative
excellent happy bad excellent sad excellent terrible happy terrible vaccine terrible meh,neutral
policy fine great vaccine terrible excellent,positive
great great sad happy happy,negative
ok awful terrible good vaccine meh excellent bad terrible bad excellent,neutral
ok great meh vaccine terrible,positive
excellent happy sad fine,negative
covid policy happy ok meh excellent sad,neutral
meh awful awful terrible bad sad meh awful awful excellent ok,positive
sad awful happy good fine sad terrible,negative
vaccine good ok sad vaccine,neutral
meh good meh happy great great meh terrible good good good ok excellent,positive
meh policy fine bad sad good excellent fine vaccine covid excellent vaccine meh,negative
meh ok awful awful bad good awful excellent happy fine,neutral
sad bad great policy bad fine ok ok good fine sad sad,positive
bad bad bad ok covid meh policy policy great excellent excellent fine vaccine,negative
awful awful excellent meh meh ok fine fine,neutral
sad happy terrible good meh vaccine bad excellent terrible sad meh fine covid,positive
vaccine terrible covid great good excellent awful bad terrible fine policy excellent,negative
excellent vaccine vaccine policy,neutral
meh excellent policy good ok sad excellent ok awful,positive
happy meh sad terrible terrible,negative
happy bad fine great good covid sad happy good,neutral
good fine good excellent policy ok,positive
policy good sad awful bad fine good terrible good sad sad,negative
covid terrible happy sad policy sad awful sad,neutral
vaccine covid covid policy excellent,positive
policy awful fine meh bad terrible ok covid excellent excellent excellent,negative
good covid bad ok sad terrible great happy sad policy,neutral
excellent fine vaccine awful meh great,positive
happy excellent awful awful terrible good,negative
covid terrible good ok bad,neutral
ok excellent covid good good meh,positive
ok excellent vaccine meh excellent covid bad excellent fine covid vaccine,negative
sad vaccine awful awful great good terrible policy,neutral
good excellent excellent ok,positive
great excellent happy great happy terrible vaccine sad good excellent great fine ok,negative
terrible ok covid good happy terrible terrible policy fine excellent terrible excellent sad,neutral
policy awful covid fine covid good awful good great,positive
covid ok fine fine great happy bad good,negative
policy policy vaccine awful awful meh fine covid terrible meh great ok excellent,neutral
vaccine great happy terrible sad,positive
vaccine awful good excellent vaccine terrible fine fine awful policy awful,negative
fine sad awful ok covid policy sad terrible policy vaccine covid covid good,neutral
excellent covid awful policy covid good policy happy great excellent fine,positive
happy meh policy covid policy happy meh covid happy bad awful good,negative
awful happy meh awful covid meh bad policy,neutral
good vaccine excellent great,positive
policy sad awful policy covid fine bad great fine bad,negative
covid vaccine great bad bad terrible bad sad terrible,neutral
terrible bad bad ok ok,positive
bad great fine great bad policy policy bad,negative
ok vaccine terrible fine bad,neutral
great vaccine terrible good,positive
vaccine covid awful excellent fine awful covid policy great ok terrible,negative
covid great excellent happy excellent ok good terrible,neutral
terrible great happy good terrible excellent awful fine good vaccine terrible covid,positive
terrible good fine happy sad awful vaccine excellent terrible,negative
good policy excellent terrible policy awful good great happy happy great vaccine happy,neutral
great awful terrible good,positive
awful excellent covid ok,negative
policy vaccine ok good sad excellent happy,neutral
good bad happy policy vaccine sad,positive
awful good terrible policy ok sad ok excellent meh,negative
covid bad vaccine meh happy,neutral
covid policy terrible good great bad covid good,positive
covid great covid policy happy,negative
meh fine policy good terrible covid bad great good excellent,neutral
policy covid terrible fine sad sad bad great covid vaccine,positive
terrible vaccine awful bad policy happy policy happy terrible happy meh sad meh,negative
policy covid policy awful good terrible vaccine bad ok excellent meh ok,neutral
awful terrible meh great bad excellent fine good,positive
terrible awful sad meh sad awful happy policy ok awful,negative
bad vaccine great ok meh awful awful vaccine awful good terrible sad terrible,neutral
policy excellent bad meh great happy meh ok fine,positive
terrible excellent fine good excellent happy sad,negative
great happy vaccine meh meh sad great excellent,neutral
terrible fine covid fine policy excellent,positive
sad ok policy sad,negative
vaccine fine meh sad excellent ok sad meh sad awful happy covid vaccine,neutral
fine ok happy meh,positive
sad ok good happy happy vaccine policy fine excellent awful excellent covid,negative
vaccine bad awful fine fine fine policy vaccine,neutral
great happy awful good good sad happy terrible great ok sad fine,positive
fine meh good great happy bad,negative
happy happy great vaccine,neutral
sad vaccine meh good covid,positive
bad good terrible fine excellent fine excellent bad happy,negative
good policy fine good,neutral
happy awful fine bad great covid excellent terrible good covid policy awful good,positive
fine bad awful covid bad vaccine happy covid policy sad bad,negative
excellent awful bad covid,neutral
covid good policy fine meh covid terrible meh,positive
sad awful awful vaccine ok sad,negative
covid awful awful good,neutral
ok covid sad ok,positive
excellent fine bad good meh terrible,negative
meh vaccine bad bad sad meh covid sad meh terrible ok ok,neutral
awful excellent happy ok excellent,positive
happy ok happy awful vaccine awful terrible policy,negative
vaccine bad excellent excellent meh sad happy ok awful,neutral
awful fine covid good awful covid ok,positive
ok excellent fine covid awful terrible excellent fine policy great terrible ok bad,negative
good bad meh fine covid fine,neutral
fine great good covid ok bad awful excellent policy,positive
ok bad good meh meh covid sad policy covid,negative
good fine great covid ok,neutral
vaccine meh terrible covid good awful great great,positive
awful vaccine covid terrible great policy good awful ok bad policy,negative
great awful awful fine great meh bad ok ok terrible great covid,neutral
fine great ok meh fine happy bad excellent good happy vaccine bad,positive
excellent fine meh happy covid bad covid awful good meh,negative
excellent happy happy bad ok excellent,neutral
good bad excellent bad awful bad covid policy vaccine,positive
awful great great sad good covid meh great excellent meh bad,negative
terrible meh happy excellent happy policy fine policy good awful,neutral
covid excellent vaccine sad fine great terrible vaccine bad bad,positive
happy fine sad awful covid bad,negative
vaccine good vaccine sad,neutral
sad awful policy covid great terrible sad great bad covid policy policy policy,positive
awful bad great good happy policy ok great ok,negative
policy good sad bad bad meh great terrible,neutral
excellent terrible bad good,positive
awful great ok ok covid happy terrible great sad excellent fine policy,negative
terrible sad sad vaccine great,neutral
happy good fine ok policy awful bad covid bad vaccine sad,positive
covid vaccine policy vaccine ok fine awful great ok,negative
ok bad excellent happy good excellent fine good meh,neutral
awful great covid awful awful good meh excellent fine vaccine covid,positive
